Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Feraligatr,91.4,160,water,none,123.9,117.4,125,1817697,19.5,1500,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Gastrodon,91.4,423,water,ground,113.2,103.4,168,1966737,24,1495,Mud Slap,Body Slam,Earth Power,4,6,3,50000
Samurott (Shadow),91.4,503,water,none,128,100.9,136,1756037,19.5,1500,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Steelix,91.3,208,steel,ground,98.4,183.3,126,2272944,23.5,1497,Thunder Fang,Psychic Fangs,Breaking Swipe,6,6,5,75000
Stunfisk,91.3,618,ground,electric,101.5,126.7,172,2211731,26,1499,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Annihilape (Shadow),91.1,979,fighting,ghost,123.4,105.2,140,1817129,17,1499,Counter,Rage Fist,Ice Punch,6,7,3,50000
Dusknoir,91.1,477,ghost,none,119.8,174.2,90,1878255,23.5,1500,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Sableye (Shadow),90.6,302,dark,ghost,119.7,124.6,125,1864140,47,1496,Shadow Claw,Foul Play,Power Gem,5,7,5,75000
Dedenne,90.5,702,electric,fairy,124.4,109,133,1803653,30,1498,Thunder Shock,Parabolic Charge,Play Rough,5,7,3,50000
Cradily,90.4,346,rock,grass,105.2,140.3,144,2126277,25.5,1497,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Diggersby (Shadow),90.4,660,normal,ground,95.7,140.3,174,2337114,47,1499,Quick Attack,Scorching Sands,Fire Punch,7,5,1,10000
Feraligatr (Shadow),90.4,160,water,none,123.9,117.4,125,1817697,19.5,1500,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Quagsire (Shadow),90.4,195,water,ground,111.3,112.7,161,2018332,28.5,1499,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Carbink,90.3,703,rock,fairy,84,252.1,126,2669074,50,1497,Rock Throw,Power Gem,Moonblast,10,12,5,75000
Morpeko (Full Belly),90.3,877,electric,dark,140.5,96.3,118,1596126,28.5,1499,Thunder Shock,Aura Wheel,Psychic Fangs,5,4,3,50000
Forretress (Shadow),90.1,205,bug,steel,109.8,145.5,128,2043769,24.5,1499,Bug Bite,Sand Tomb,Rock Tomb,14,17,5,75000
Lapras (Shadow),90,131,water,ice,104.7,114.6,179,2147136,21.5,1499,Psywave,Sparkling Aria,Ice Beam,12,14,5,75000
Furret,89.9,162,normal,none,115.3,105.4,160,1945534,34.5,1498,Sucker Punch,Swift,Trailblaze,5,7,1,10000
Golurk (Shadow),89.9,623,ground,ghost,133.3,98.5,128,1681024,19.5,1500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Marowak,89.9,105,ground,none,109.6,148.9,125,2040576,31.5,1496,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Marowak (Shadow),89.9,105,ground,none,109.6,148.9,125,2040576,31.5,1496,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Primeape,89.9,57,fighting,none,138.7,100.1,116,1611459,24,1498,Karate Chop,Rage Fist,Close Combat,4,5,3,50000
Machoke (Shadow),89.7,67,fighting,none,126.8,97.4,143,1765627,27.5,1499,Karate Chop,Cross Chop,Dynamic Punch,4,5,3,50000
Steelix (Shadow),89.7,208,steel,ground,98.4,183.3,126,2272944,23.5,1497,Thunder Fang,Psychic Fangs,Breaking Swipe,6,6,5,75000
Togedemaru,89.7,777,electric,steel,132.2,107.3,120,1701782,25.5,1500,Thunder Shock,Fell Stinger,Wild Charge,4,5,3,50000
Pangoro,89.6,675,fighting,dark,133.9,93.7,133,1669812,19,1500,Karate Chop,Close Combat,Night Slash,5,4,3,50000
Weezing (Galarian) (Shadow),89.5,110,poison,fairy,117.7,139.5,116,1904809,24.5,1499,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Malamar,89.4,687,dark,psychic,117.2,116.6,139,1899127,23.5,1493,Psywave,Superpower,Foul Play,10,10,3,50000
Malamar (Shadow),89.4,687,dark,psychic,117.2,116.6,139,1899127,23.5,1493,Psywave,Foul Play,Superpower,10,10,3,50000
Metang (Shadow),89.4,375,steel,psychic,109,145.8,129,2049614,36,1498,Fury Cutter,Psyshock,Gyro Ball,10,15,5,75000
Primeape (Shadow),89.4,57,fighting,none,138.7,100.1,116,1611459,24,1498,Karate Chop,Rage Fist,Ice Punch,4,5,3,50000
Araquanid,89.2,752,water,bug,97.4,174,136,2306355,32,1499,Bug Bite,Water Pulse,Bubble Beam,19,14,3,50000
Emolga,89.2,587,electric,flying,127.6,110.2,125,1758025,39.5,1498,Thunder Shock,Acrobatics,Discharge,7,5,1,10000
Runerigus,89.2,867,ground,ghost,111.7,165.3,109,2013466,24.5,1500,Shadow Claw,Rock Tomb,Shadow Ball,7,7,3,50000
Bastiodon,89.1,411,rock,steel,80.6,247.7,139,2775875,46.5,1496,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Dusclops (Shadow),89.1,356,ghost,none,102.4,197.7,108,2186937,42,1497,Hex,Ice Punch,Shadow Punch,4,3,3,50000
Moltres (Galarian),89,146,dark,flying,115.1,137.5,123,1946560,17.5,1500,Sucker Punch,Fly,Brave Bird,7,8,20,100000
Azumarill,88.9,184,water,fairy,93.4,134.5,191,2399514,43,1499,Bubble,Ice Beam,Play Rough,5,6,3,50000
Dragalge,88.7,691,poison,dragon,117.9,143.1,113,1906032,23.5,1500,Acid,Aqua Tail,Outrage,5,8,3,50000
Quagsire,88.7,195,water,ground,111.3,112.7,161,2018332,28.5,1499,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Scizor (Shadow),88.6,212,bug,steel,137.9,112,105,1622257,18.5,1500,Bullet Punch,Night Slash,Trailblaze,5,7,5,75000
Bellibolt,88.5,939,electric,none,115.1,110.2,154,1952887,21,1500,Sucker Punch,Zap Cannon,Parabolic Charge,12,7,1,50000
Metang,88.5,375,steel,psychic,109,145.8,129,2049614,36,1498,Fury Cutter,Psyshock,Return,10,18,5,75000
Tinkaton,88.4,959,fairy,steel,106.2,140.9,141,2110405,25,1500,Fairy Wind,Play Rough,Bulldoze,7,5,3,75000
Claydol,88.3,344,ground,psychic,103.6,172.7,121,2164207,29,1500,Mud Slap,Rock Tomb,Ice Beam,5,6,3,50000
Toxapex,88.2,748,poison,water,91.9,224.3,118,2433080,38,1497,Poison Jab,Brine,Sludge Wave,8,10,3,50000
Dewott (Shadow),88.1,502,water,none,124.1,99.8,146,1808108,35,1499,Fury Cutter,Aqua Tail,X-Scissor,9,10,3,10000
Sableye,88.1,302,dark,ghost,119.7,124.6,125,1864140,47,1496,Shadow Claw,Foul Play,Power Gem,5,7,5,75000
Togetic,88.1,176,fairy,flying,110.2,150.2,123,2035132,36.5,1498,Fairy Wind,Psyshock,Dazzling Gleam,5,7,3,50000
Aurorus,87.9,699,rock,ice,113.5,106.3,164,1979465,20,1500,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Grumpig,87.9,326,psychic,none,113.3,131.5,132,1966510,23.5,1497,Psywave,Dynamic Punch,Shadow Ball,12,14,1,10000
Marowak (Alolan),87.9,105,fire,ghost,109.6,148.9,125,2040576,31.5,1496,Fire Spin,Bone Club,Shadow Bone,4,5,3,50000
Blastoise,87.8,9,water,none,112.1,137.7,130,2007546,23,1500,Rollout,Hydro Cannon,Skull Bash,4,6,3,10000
Grumpig (Shadow),87.8,326,psychic,none,113.3,131.5,132,1966510,23.5,1497,Psywave,Dynamic Punch,Shadow Ball,12,14,1,10000
Regidrago,87.7,895,dragon,none,121.9,62.7,241,1842328,20,1499,Dragon Breath,Dragon Energy,Breaking Swipe,15,12,20,100000
Drifblim,87.6,426,ghost,flying,119.2,75.8,209,1886853,23.5,1500,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Weezing (Galarian),87.6,110,poison,fairy,117.7,139.5,116,1904809,24.5,1499,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Whiscash (Shadow),87.6,340,water,ground,107.6,108.3,178,2073839,27,1495,Mud Shot,Mud Bomb,Scald,5,7,1,10000
Lickitung,87.4,108,normal,none,96.6,127.7,186,2295742,50,1491,Lick,Body Slam,Power Whip,12,17,3,50000
Marowak (Alolan) (Shadow),87.4,105,fire,ghost,109.6,148.9,125,2040576,31.5,1496,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Machamp (Shadow),87.2,68,fighting,none,135.5,98.6,124,1656376,18,1498,Karate Chop,Cross Chop,Stone Edge,4,7,3,50000
Annihilape,87.1,979,fighting,ghost,123.4,105.2,140,1817129,17,1499,Counter,Rage Fist,Close Combat,6,8,3,50000
Clefable,87.1,36,fairy,none,116.6,112.1,147,1921642,23,1498,Fairy Wind,Moonblast,Swift,7,4,1,10000
Sandslash (Alolan) (Shadow),87.1,28,ice,steel,116,133.3,125,1931513,23,1499,Shadow Claw,Ice Punch,Drill Run,5,6,3,50000
Sealeo (Shadow),87.1,364,ice,water,109,112.8,168,2065168,36,1500,Powder Snow,Surf,Body Slam,6,5,3,50000
Vespiquen,87.1,416,bug,flying,108.9,143.5,132,2061993,28,1499,Fury Cutter,X-Scissor,Power Gem,10,13,3,50000
Victreebel (Shadow),87.1,71,grass,poison,135.2,93.5,131,1656351,23,1498,Acid,Leaf Blade,Sludge Bomb,5,7,3,50000
Sandslash (Alolan),87,28,ice,steel,116,133.3,125,1931513,23,1499,Shadow Claw,Ice Punch,Drill Run,5,6,3,50000
Melmetal,86.8,809,steel,none,121,105.2,146,1857750,15.5,1500,Thunder Shock,Double Iron Bash,Superpower,4,5,20,100000
Golurk,86.7,623,ground,ghost,133.3,98.5,128,1681024,19.5,1500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Jumpluff,86.7,189,grass,flying,96.7,157,153,2322994,40.5,1499,Fairy Wind,Aerial Ace,Energy Ball,5,7,3,50000
Bronzong,86.6,437,steel,psychic,110.9,152.3,120,2026242,25,1500,Metal Sound,Psyshock,Payback,5,8,3,50000
Drapion (Shadow),86.6,452,poison,dark,117.9,136.9,118,1903472,22.5,1500,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Raichu,86.6,26,electric,none,133.6,110.6,114,1684547,25.5,1500,Thunder Shock,Wild Charge,Trailblaze,5,5,1,10000
Scizor,86.6,212,bug,steel,137.9,112,105,1622257,18.5,1500,Bullet Punch,Night Slash,Trailblaze,5,7,5,75000
Machamp,86.5,68,fighting,none,135.5,98.6,124,1656376,18,1498,Karate Chop,Cross Chop,Stone Edge,4,7,3,50000
Victreebel,86.5,71,grass,poison,135.2,93.5,131,1656351,23,1498,Acid,Leaf Blade,Sludge Bomb,5,7,3,50000
Greninja,86.4,658,water,dark,139.6,100.4,115,1611397,21,1500,Water Shuriken,Hydro Cannon,Night Slash,3,3,3,10000
Guzzlord,86.4,799,dark,dragon,113.3,66.1,265,1982915,19.5,1499,Dragon Tail,Brutal Swing,Sludge Bomb,4,6,20,100000
Swampert (Shadow),86.4,260,water,ground,123,109.2,136,1825538,18.5,1499,Mud Shot,Hydro Cannon,Sludge,5,5,3,10000
Blastoise (Shadow),86.3,9,water,none,112.1,137.7,130,2007546,23,1500,Rollout,Hydro Cannon,Skull Bash,4,6,3,10000
Ninetales (Shadow),86.3,38,fire,none,114.4,135.5,126,1953716,24.5,1496,Ember,Weather Ball (Fire),Overheat,5,8,3,50000
Bastiodon (Shadow),86.2,411,rock,steel,80.6,247.7,139,2775875,46.5,1496,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Donphan (Shadow),86.2,232,ground,none,125.3,113.2,126,1786397,18.5,1498,Mud Slap,Trailblaze,Body Slam,5,4,3,50000
Golisopod,86.2,768,bug,water,124.1,134.7,108,1804489,17.5,1499,Shadow Claw,Aqua Jet,X-Scissor,5,5,1,10000
Gliscor,86.1,472,ground,flying,115.7,144.5,116,1938911,21,1499,Fury Cutter,Earthquake,Aerial Ace,17,10,5,75000
Registeel,86.1,379,steel,none,94.8,192.2,130,2369038,23,1499,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Whiscash,86.1,340,water,ground,107.6,108.3,178,2073839,27,1495,Mud Shot,Mud Bomb,Scald,5,7,1,10000
Drapion,86,452,poison,dark,117.9,136.9,118,1903472,22.5,1500,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Lurantis,86,754,grass,none,126.2,117.9,119,1770422,23,1495,Fury Cutter,Leaf Blade,Superpower,9,10,3,50000
Swampert,86,260,water,ground,123,109.2,136,1825538,18.5,1499,Mud Shot,Hydro Cannon,Sludge,5,5,3,10000
Tentacruel,85.9,73,water,poison,108.9,143.5,131,2047453,23,1495,Acid,Scald,Sludge Wave,7,9,3,50000
Electivire (Shadow),85.8,466,electric,none,143.4,100.9,108,1562263,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Hakamo-o,85.8,783,dragon,fighting,115.5,135.6,124,1942416,36.5,1498,Dragon Tail,Dragon Claw,Brick Break,4,5,5,75000
Dewott,85.7,502,water,none,122.6,99.8,149,1822620,35,1496,Fury Cutter,Aqua Tail,X-Scissor,9,10,3,10000
Dunsparce,85.7,206,normal,none,104.8,111,184,2139359,37.5,1499,Rollout,Drill Run,Rock Slide,4,4,3,50000
Hippowdon (Shadow),85.7,450,ground,none,116.2,116.8,142,1926191,18,1500,Sand Attack,Weather Ball (Rock),Scorching Sands,9,13,3,50000
Stunfisk (Galarian),85.7,618,ground,steel,101.5,126.7,172,2211731,26,1499,Mud Shot,Rock Slide,Earthquake,6,9,5,75000
Cradily (Shadow),85.6,346,rock,grass,105.2,140.3,144,2126277,25.5,1497,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Dachsbun,85.6,927,fairy,none,113.5,156.1,112,1983841,26.5,1500,Charm,Psychic Fangs,Body Slam,6,6,3,50000
Lairon,85.6,305,steel,rock,113.8,147.2,118,1976790,27,1500,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Linoone,85.6,264,normal,none,114.1,111.8,154,1965124,38.5,1497,Shadow Claw,Swift,Grass Knot,5,7,1,10000
Ninetales,85.6,38,fire,none,114.4,135.5,126,1953716,24.5,1496,Ember,Weather Ball (Fire),Overheat,5,8,3,50000
Spiritomb,85.6,442,ghost,dark,120.8,147.9,104,1857210,27,1498,Sucker Punch,Rock Tomb,Shadow Ball,8,8,5,75000
Wigglytuff,85.6,40,normal,fairy,115.1,75.5,223,1938893,29,1493,Charm,Icy Wind,Swift,8,6,1,10000
Aurorus (Shadow),85.5,699,rock,ice,113.5,106.3,164,1979465,20,1500,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Toedscruel,85.5,949,ground,grass,108.9,143.5,131,2047453,23,1495,Mud Slap,Earth Power,Wrap,6,5,3,50000
Wormadam (Trash),85.5,413,bug,steel,105,151.1,135,2141526,41,1500,Bug Bite,Bug Buzz,Iron Head,20,17,1,10000
Zapdos (Shadow),85.5,145,electric,flying,136.2,104.1,116,1645506,15.5,1498,Thunder Shock,Drill Peck,Thunderbolt,5,7,20,100000
Gliscor (Shadow),85.4,472,ground,flying,115.7,144.5,116,1938911,21,1499,Fury Cutter,Earthquake,Aerial Ace,17,10,5,75000
Talonflame,85.4,663,fire,flying,121.4,112.7,135,1846682,25.5,1500,Incinerate,Fly,Brave Bird,3,3,1,10000
Thievul,85.4,828,dark,none,119.9,121.9,127,1856410,26,1494,Sucker Punch,Night Slash,Play Rough,5,9,1,10000
Goodra,85.3,706,dragon,none,119.7,134.1,117,1878306,16,1499,Dragon Breath,Aqua Tail,Thunder Punch,12,14,5,75000
Ninetales (Alolan) (Shadow),85.2,38,ice,fairy,114.5,136.1,125,1948701,24,1497,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,7,3,50000
Froslass,85.1,478,ice,ghost,122.6,114.9,130,1831027,27.5,1499,Hex,Avalanche,Shadow Ball,4,5,3,50000
Drifblim (Shadow),85,426,ghost,flying,119.2,75.8,209,1886853,23.5,1500,Astonish,Icy Wind,Shadow Ball,5,6,5,75000
Swalot,85,317,poison,none,103.4,122.7,171,2169090,28.5,1498,Mud Shot,Sludge,Ice Beam,5,7,1,10000
Tinkatuff,85,958,fairy,steel,104.2,134.4,149,2087357,50,1477,Fairy Wind,Play Rough,Flash Cannon,7,8,3,75000
Hippopotas,84.8,449,ground,none,115.1,111.8,152,1955620,50,1500,Sand Attack,Rock Tomb,Dig,13,13,3,50000
Hippowdon,84.8,450,ground,none,116.2,116.8,142,1926191,18,1500,Sand Attack,Weather Ball (Rock),Scorching Sands,9,13,3,50000
Medicham,84.8,308,fighting,psychic,106.9,139.5,141,2102958,49,1500,Psycho Cut,Ice Punch,Dynamic Punch,5,5,3,50000
Nidoqueen,84.8,31,poison,ground,116.6,118.5,139,1920313,22.5,1498,Poison Sting,Earth Power,Poison Fang,7,5,3,50000
Electrode (Hisuian),84.7,101,electric,grass,123.3,128.7,115,1825336,26,1500,Thunder Shock,Wild Charge,Swift,5,4,3,50000
Lanturn,84.7,171,water,electric,104.8,105.5,194,2145463,27,1500,Water Gun,Surf,Thunderbolt,15,19,3,50000
Lickilicky,84.7,463,normal,none,105.7,125.6,160,2123761,23,1499,Rollout,Body Slam,Shadow Ball,3,5,3,50000
Qwilfish,84.7,211,water,poison,131.2,105.5,123,1702587,27,1497,Poison Sting,Aqua Tail,Ice Beam,4,7,3,50000
Toxicroak (Shadow),84.7,454,poison,fighting,136.2,93.8,129,1648115,22.5,1499,Poison Sting,Dynamic Punch,Shadow Ball,5,7,3,50000
Lairon (Shadow),84.5,305,steel,rock,113.8,147.2,118,1976790,27,1500,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Skeledirge,84.5,911,fire,ghost,121.2,109.7,139,1849333,18.5,1500,Incinerate,Torch Song,Shadow Ball,3,3,3,10000
Zapdos,84.4,145,electric,flying,135.2,105.2,116,1649292,15.5,1497,Thunder Shock,Drill Peck,Thunderbolt,5,7,20,100000
Barbaracle,84.3,689,rock,water,121,133.1,115,1851007,20.5,1499,Fury Cutter,Cross Chop,Stone Edge,9,14,3,50000
Sealeo,84.3,364,ice,water,109,112.8,168,2065168,36,1500,Powder Snow,Surf,Body Slam,6,5,3,50000
Gallade (Shadow),84.2,475,psychic,fighting,136.6,115.6,104,1642368,18,1499,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Regirock,84.2,377,rock,none,103.7,180.2,116,2168334,18,1500,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Dewgong,84.1,87,water,ice,102,136.9,157,2192411,28.5,1498,Ice Shard,Icy Wind,Drill Run,5,5,3,50000
Pachirisu,84.1,417,electric,none,91.6,157.1,142,2043738,50,1372,Volt Switch,Thunder Punch,Thunderbolt,3,4,5,75000
Dragonair (Shadow),84,148,dragon,none,125.2,112.5,127,1788369,33,1499,Dragon Breath,Wrap,Aqua Tail,15,12,5,75000
Dragonite (Shadow),84,149,dragon,flying,135.8,107.3,113,1647398,14.5,1498,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Serperior,84,497,grass,none,110.2,142.3,130,2038328,25,1500,Vine Whip,Frenzy Plant,Aerial Ace,6,5,3,10000
Klefki,83.9,707,steel,fairy,118,137.4,117,1896718,29,1497,Astonish,Foul Play,Play Rough,4,6,3,50000
Ninetales (Alolan),83.9,38,ice,fairy,114.5,136.1,125,1948701,24,1497,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,7,3,50000
Amoonguss,83.8,591,grass,poison,109.3,105.9,177,2049605,26.5,1498,Astonish,Grass Knot,Foul Play,5,4,3,50000
Farfetch'd (Galarian),83.8,83,fighting,none,137.6,99.7,119,1633523,37,1499,Fury Cutter,Leaf Blade,Brave Bird,9,14,3,50000
Armarouge,83.7,936,fire,psychic,132.2,109.6,117,1695222,17,1499,Incinerate,Psyshock,Flame Charge,2,3,5,50000
Donphan,83.7,232,ground,none,125.3,113.2,126,1786397,18.5,1498,Mud Slap,Trailblaze,Body Slam,5,4,3,50000
Dragonair,83.7,148,dragon,none,125.2,112.5,127,1788369,33,1499,Dragon Breath,Aqua Tail,Wrap,12,15,5,75000
Ursaring (Shadow),83.7,217,normal,none,139.6,91.4,126,1607158,18.5,1500,Shadow Claw,Swift,Close Combat,5,6,3,50000
Walrein,83.7,365,ice,water,112.5,114.9,154,1990879,20.5,1500,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Froslass (Shadow),83.6,478,ice,ghost,122.6,114.9,130,1831027,27.5,1499,Hex,Avalanche,Shadow Ball,4,5,3,50000
Magcargo,83.6,219,fire,rock,110.9,156.4,117,2029369,36.5,1500,Incinerate,Rock Tomb,Overheat,3,3,1,10000
Sirfetch'd,83.6,865,fighting,none,144.8,108,99,1548382,18.5,1500,Fury Cutter,Leaf Blade,Close Combat,9,12,3,50000
Walrein (Shadow),83.5,365,ice,water,112.5,114.9,154,1990879,20.5,1500,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Aegislash (Shield),83.4,681,steel,ghost,82.9,234.6,139,2701765,46,1498,Psycho Cut,Shadow Ball,Flash Cannon,10,12,5,75000
Aron,83.4,304,steel,rock,114.3,131.1,127,1902550,50,1478,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Bellossom,83.4,182,grass,none,115.1,132.2,128,1947512,24.5,1498,Acid,Leaf Blade,Dazzling Gleam,5,7,3,50000
Kommo-o,83.4,784,dragon,fighting,123.7,137.8,106,1807554,16.5,1497,Dragon Tail,Clanging Scales,Dragon Claw,5,4,5,75000
Ledian,83.4,166,bug,flying,101.4,162.5,134,2207885,49.5,1496,Bug Bite,Aerial Ace,Dynamic Punch,14,15,1,10000
Toxtricity,83.4,849,electric,poison,141.2,95.4,118,1589592,21.5,1500,Acid,Wild Charge,Power-Up Punch,6,5,5,75000
Typhlosion (Shadow),83.4,157,fire,none,132.8,108.9,117,1691315,19,1498,Incinerate,Blast Burn,Thunder Punch,3,2,3,10000
Aron (Shadow),83.3,304,steel,rock,114.3,131.1,127,1902550,50,1478,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Castform (Sunny),83.3,351,fire,none,112.6,121.3,146,1993800,39.5,1500,Ember,Weather Ball (Fire),Solar Beam,5,12,5,75000
Florges,83.3,671,fairy,none,120.1,141.6,110,1869643,17,1499,Fairy Wind,Moonblast,Trailblaze,7,5,3,50000
Nidoqueen (Shadow),83.3,31,poison,ground,116.6,118.5,139,1920313,22.5,1498,Poison Sting,Earth Power,Poison Fang,7,5,3,50000
Bellossom (Shadow),83.2,182,grass,none,115.1,132.2,128,1947512,24.5,1498,Acid,Leaf Blade,Dazzling Gleam,5,7,3,50000
Toxicroak,83.2,454,poison,fighting,136.2,93.8,129,1648115,22.5,1499,Poison Sting,Dynamic Punch,Shadow Ball,5,7,3,50000
Farfetch'd,83.1,83,normal,flying,116.8,109.2,131,1671469,50,1397,Fury Cutter,Leaf Blade,Aerial Ace,9,10,3,50000
Magnezone,83.1,462,electric,steel,134.4,121.2,102,1661074,17,1497,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Abomasnow (Shadow),83,460,grass,ice,117.9,112,143,1888173,23.5,1495,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Dragonite,83,149,dragon,flying,135.8,107.3,113,1647398,14.5,1498,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Zweilous,82.9,634,dark,dragon,120.5,110.2,140,1859224,30.5,1498,Dragon Breath,Dark Pulse,Body Slam,17,12,5,75000
Mew,82.8,151,psychic,none,120.5,119.4,129,1855163,16.5,1498,Shadow Claw,Wild Charge,Psyshock,6,5,20,100000
Scyther (Shadow),82.8,123,bug,flying,134.9,109.5,113,1668474,20.5,1500,Fury Cutter,Aerial Ace,Night Slash,10,9,5,75000
Amoonguss (Shadow),82.7,591,grass,poison,109.3,105.9,177,2049605,26.5,1498,Astonish,Grass Knot,Foul Play,5,4,3,50000
Arctibax,82.7,997,dragon,ice,122.9,98.6,151,1828678,27,1500,Dragon Breath,Avalanche,Dragon Claw,15,12,5,75000
Crustle (Shadow),82.7,558,bug,rock,120.3,134.7,115,1863686,22,1499,Fury Cutter,X-Scissor,Rock Slide,10,12,1,10000
Genesect,82.6,649,bug,steel,141.1,111.7,100,1575465,16,1498,Fury Cutter,X-Scissor,Techno Blast (Normal),10,14,20,100000
Gengar (Shadow),82.6,94,ghost,poison,154.3,95.5,98,1444036,19,1495,Shadow Claw,Shadow Punch,Sludge Bomb,5,7,3,50000
Grimer (Shadow),82.6,88,poison,none,122.8,86.9,171,1824029,49,1497,Mud Slap,Sludge,Mud Bomb,4,4,3,50000
Mightyena (Shadow),82.6,262,dark,none,125.9,105.8,133,1770707,29,1497,Sucker Punch,Crunch,Poison Fang,7,6,1,10000
Skarmory,82.6,227,steel,flying,105.5,166.6,121,2126860,27,1500,Steel Wing,Brave Bird,Sky Attack,10,10,5,75000
Urshifu (Single Strike),82.6,892,fighting,dark,136.6,97.8,121,1616195,15,1489,Sucker Punch,Brick Break,Dynamic Punch,6,7,20,100000
Charjabug,82.4,737,bug,electric,114.8,134.8,126,1949448,36.5,1497,Volt Switch,X-Scissor,Discharge,3,3,1,10000
